umapscvinative_1	umapscvinative_2	celltype_annotation	Rbfox3	Mog	Gfap	Olig2
-2.62511056201929	-4.63186444630135	Oligodendrocytes	0	2.15599769552027	0	0
-0.844183499984686	-5.55978001942147	Oligodendrocytes	0	2.54235776083478	0	0
-1.89424079196924	-4.3152226387452	Oligodendrocytes	0	2.15836452739886	0	0
10.7676942990494	1.83528147349846	Neurons	0	0	0	0
-0.380013759307806	8.828067404132	Tmem119.Immune	0	0	0	0
-2.35441654460902	-4.19136847843636	Oligodendrocytes	0	1.69532172632394	0	0
4.64402181369787	4.53093872676384	Neurons	0	0	0	0
3.54072982532507	3.33549461970817	Neurons	0	0	0	0
-7.91672247188563	5.39962397227775	Astrocytes	0	0	0	0
5.50926477176672	3.07619486461174	Neurons	1.17851655290711	0	0	0
-0.467596168689673	8.83788643489372	Tmem119.Immune	0	0	0	0
2.14306587440496	-6.28399981846321	Oligodendrocytes	0	3.17603396607381	0	0
-10.7099000765609	-7.40282716145028	OPC	1.28510921687254	0	0	1.28510921687254
-1.47116440074915	-3.88352002491463	Oligodendrocytes	0	2.03746185594607	0	0
-2.38193267124171	-4.6182011543702	Oligodendrocytes	0	1.77284598709209	0	1.23657341238961
-2.10558694141382	-2.76694406857003	Oligodendrocytes	0	1.58401081863252	0	0
9.08549005252844	2.44576416621696	Neurons	2.22060226534528	0	0	0
-2.70305126445765	-2.91207994808663	Oligodendrocytes	0	2.75265943494018	0	0
8.2288215802384	5.03663406978142	Neurons	1.7705504919905	0	0	0
1.16973668796545	-5.34357060780037	Oligodendrocytes	0	2.67870515703136	0	0
1.7137053654862	-5.94521941532601	Oligodendrocytes	0	2.74134131894781	0	0
-8.71032541530604	4.50473890910637	Astrocytes	0	0	0	0
4.55452520114904	4.39443789134514	Neurons	1.32331014615081	0	0	0
-1.75921433704371	-3.41412629475106	Oligodendrocytes	0	1.62138413570584	0	0
-3.2990857912826	5.90426741252434	Endothelial	0	0	2.09152228469769	0
-0.593371923141425	-3.4715889870118	Oligodendrocytes	0	2.37990917642859	0	0
-0.386953706912939	-3.39621700634468	Oligodendrocytes	0	2.06462131982743	0	2.06462131982743
1.47313720447546	-4.62238206257332	Oligodendrocytes	0	2.79345838500717	0	0
-1.6478885962295	-4.03351392139901	Oligodendrocytes	0	2.43444089801136	0	0
2.50833851558691	-5.61091889729012	Oligodendrocytes	0	2.69673702406138	0	1.49465865965667
-0.223179633789008	-4.23262156834114	Oligodendrocytes	0	0	0	1.77732325234048
11.0030477688981	0.584549081425778	Neurons	1.24168395929091	0	0	0
0.641309265918787	-4.67156733860482	Oligodendrocytes	0	3.35197405282431	0	0
-8.73623293178553	4.27693448672783	Astrocytes	0	0	0	0
3.28484279376989	1.38012943873893	Neurons	0	0	0	0
1.52550894481664	-4.4379500328492	Oligodendrocytes	0	2.73039686602723	0	0
1.71019179088598	-4.76417579044808	Oligodendrocytes	0	2.23396433114977	0	0
6.75859004718786	4.22599993358146	Neurons	0	0.922333046330118	0	0
8.14925557834631	-1.44031395306099	Neurons	1.74447949915385	0	0	0
1.42778492433553	-4.73222817768563	Oligodendrocytes	0	2.57087749634893	0	0
3.61174232227331	0.224257220428101	Neurons	0.42086999950535	0	0	0
3.4733796761704	5.65503512034904	Neurons	0	0	0	0
-1.25142317550654	-2.88120140423287	Oligodendrocytes	0	2.08040463766988	0	0
1.98521572811132	-5.43952454914559	Oligodendrocytes	0	2.29568429039192	0	0
10.9515150235367	-1.43129374374855	Neurons	1.99085326663413	0	0	0
-3.65318840282435	6.01292667994987	Endothelial	0	0	0	0
-3.32892506855006	5.73334513316642	Endothelial	0	0	0	0
0.9878433392716	-5.83993949284066	Oligodendrocytes	0	3.4399508302813	0	0
-1.45843022602076	-4.08347262730111	Oligodendrocytes	0	2.51267327103908	0	0
-0.0114478422927307	-5.69317521442879	Oligodendrocytes	0	2.88868683753125	0	1.23088025724586
-3.09499138133997	-4.18481768955696	Oligodendrocytes	0	3.27788046953543	0	0
-10.5147182299423	-7.60598029484261	OPC	0	1.50438858395787	0	0
-1.14668863552088	-4.83258094181527	Oligodendrocytes	0	2.42124933322287	0	0
-8.94535654323572	5.58478985438835	Astrocytes	0	0	0	0
2.65237075550085	-5.91605510105599	Oligodendrocytes	0	2.50851588838906	0	0
4.69642860157019	2.8817201674987	Neurons	1.37513401197325	0	0	0
-1.2585744215774	-5.60585059513558	Oligodendrocytes	0	1.16110605785988	0	1.16110605785988
0.429567088313158	-6.2070716797303	Oligodendrocytes	0	2.45235860004741	0	0
-0.729555542640631	-3.57919515957344	Oligodendrocytes	0	2.75162893504319	0	0
-2.4438566519546	-3.69579686512459	Oligodendrocytes	0	1.98424114254952	0	0
-0.35905777948374	-4.21235217442025	Oligodendrocytes	0	3.56681547930848	0	0
7.24021465045935	3.36004624972831	Neurons	2.20373991248297	0	0	0
-1.61950200336451	-5.10701455463875	Oligodendrocytes	0	0	0	0
-0.994663174323981	-4.78107394566048	Oligodendrocytes	0	3.0116025801957	0	0
0.635875170059259	-5.39800013889779	Oligodendrocytes	0	2.8870095652208	0	0
2.75254208309179	1.96433721194755	Neurons	0.896307061210631	0	0	0
3.52113754016882	-6.07886399616707	Oligodendrocytes	0	2.86307345046612	0	0
-0.151087994747107	-5.07914962162484	Oligodendrocytes	0	2.9690240842549	0	0
-0.606983835868781	-4.37656344761361	Oligodendrocytes	0	1.60338549290705	0	0
-0.671945984535162	-3.76446141590584	Oligodendrocytes	0	3.80231429327149	0	0
-10.5138351275253	-7.12940492023934	OPC	0	0	0	1.38255603900928
