cluster	gene	specificity	avg_log2FC	pct.1	pct.2	p_val_adj
0	Fbxw15	6.21915543498645	1.57018280784311	0.596	0.143	0
0	C030029H02Rik	5.89253502850963	1.59683201154269	0.776	0.203	0
0	5033421B08Rik	5.55771144209303	1.23321999454727	0.328	0.065	0
0	Slc13a1	4.89036967888338	1.14735596312264	0.25	0.051	1.49600260408681e-270
0	Il33	4.87313754295422	1.59529822378041	0.772	0.246	0
0	Opalin	4.53427869145371	1.24780537633029	0.506	0.132	0
0	D7Ertd443e	4.07109898680418	1.5699597197731	0.895	0.339	0
0	A230001M10Rik	3.09516245343117	1.2355348758247	0.724	0.283	0
0	St18	3.07136425580511	1.34314424827586	0.987	0.426	0
0	Creb5	3.03668220682285	1.2029369128477	0.611	0.236	0
0	Tspan2	2.88996599827328	1.28177555295316	0.716	0.312	0
0	Clmn	2.88580287659018	1.29376934333036	0.735	0.324	0
0	Bcas1	2.80109231051527	1.20391775415003	0.802	0.339	0
0	Gabrr2	2.79337867337996	0.753116799195578	0.194	0.045	3.0032721459938e-170
0	Pde8a	2.78519474450246	1.25599864911321	0.775	0.344	0
0	Tnni1	2.70382137496506	0.90127379165502	0.377	0.119	3.41960168189785e-233
0	Rhoj	2.66812623294981	1.05994055829513	0.428	0.164	1.1921500546051e-227
0	Rasal1	2.58735827021956	0.742667651637095	0.206	0.052	5.71261788134261e-165
0	Bfsp2	2.56233885922067	0.819108323849229	0.234	0.068	2.93568812265024e-166
0	Ppp1r16b	2.49553473406444	1.28521536724327	0.823	0.419	0
1	9330111N05Rik	16.9058976457002	2.90625494118954	0.467	0.072	0
1	C030029H02Rik	4.75565930010879	1.45220957995069	0.717	0.212	0
1	4930420G21Rik	4.33465643788775	1.29300831243811	0.342	0.095	5.33120326918492e-233
1	Adgrv1	3.9540116252234	1.367381541864	0.337	0.11	2.10559872338002e-204
1	Gm44866	3.84932397527896	1.35354567083251	0.664	0.227	0
1	Fbxw15	3.83868817568217	1.2241485914577	0.498	0.152	0
1	Il33	3.49233542739068	1.29436208148046	0.705	0.255	0
1	A230001M10Rik	3.27199814056941	1.26768514346668	0.754	0.286	0
1	A330049N07Rik	3.13440149440257	1.18227424788869	0.674	0.248	0
1	Ninj2	3.05288442156171	1.18754403187355	0.535	0.202	1.38704430906263e-251
1	Gm48370	3.05205852973829	1.10449227307446	0.457	0.159	1.2679380473311e-232
1	St18	2.90868616253216	1.29470219923385	0.983	0.432	0
1	D7Ertd443e	2.86882816957041	1.22412453481074	0.829	0.348	0
1	Mog	2.70324545065252	1.20776930888355	0.892	0.393	0
1	Opalin	2.67557178175682	0.957372841339525	0.412	0.141	9.61196863010637e-197
1	Prr5l	2.6662284144796	1.15500583137376	0.978	0.418	0
1	Anln	2.60439667480158	1.05284120896234	0.695	0.275	8.80925160785723e-300
1	Gm36855	2.58796798438786	0.931976565806342	0.326	0.111	6.1863326401276e-158
1	Gjc3	2.53740186918225	1.15021178124662	0.868	0.388	0
1	Mobp	2.52566896749875	1.2129680206771	0.927	0.44	0
10	C030029H02Rik	3.98844033827425	1.43004593066717	0.651	0.227	2.82570512867869e-182
10	Fbxw15	3.66734199662302	1.32453061673441	0.469	0.163	1.26203487474187e-119
10	D7Ertd443e	2.95838526988802	1.32273956778647	0.822	0.362	2.33358985967033e-185
10	Opalin	2.79648087216068	1.0688472564268	0.406	0.149	9.79609267692855e-92
10	Il33	2.50538546573214	1.15537610733763	0.595	0.269	1.04107220968094e-104
10	Mal	2.43518998125161	1.28371604309688	0.745	0.388	4.14297990238328e-143
10	St18	2.29246824643697	1.08354020316628	0.959	0.448	1.59977883605092e-159
10	Ptgds	2.26185802950794	1.79505382999833	0.993	0.786	7.13867165640722e-303
10	Cryab	2.20820789989987	1.23126765899353	0.537	0.295	3.50806891137716e-72
10	4930419G24Rik	2.18483914596648	1.35018149469839	0.969	0.595	1.22103357646762e-207
10	Gm42413	2.18367162480389	1.14024232625228	0.599	0.308	1.03409879064596e-91
10	5033421B08Rik	2.12141433596058	0.860297057901065	0.207	0.078	1.56743525285612e-36
10	Aspa	2.12054455962711	1.08870870111124	0.773	0.392	8.18675723364169e-124
10	Bcas1os2	2.11783041955972	1.01999956377247	0.507	0.239	4.35796900338338e-79
10	Mast3	2.09888470100939	1.17043688032759	0.84	0.464	5.79242667473795e-145
10	Clmn	2.08880727100615	1.12622327515078	0.641	0.341	3.6278623783332e-106
10	Tnni1	2.06278952238134	0.932222187999259	0.302	0.131	1.96576155831096e-47
10	Bcas1	2.05854318251521	1.06536105799174	0.703	0.359	5.68428501568761e-109
10	Gm37459	2.04741286024604	1.21731795201491	0.873	0.515	1.80350997576361e-148
10	Tspan2	2.04260377757138	1.11325189806543	0.612	0.329	1.32815119886931e-87
100	Dlk1	18.7370346186395	1.22388095487225	0.633	0.032	7.23413964323883e-224
100	Gm30382	11.3618830104884	2.02780200868391	0.724	0.121	8.15946357050675e-80
100	F13a1	10.0469067070399	0.930776098199879	0.357	0.024	4.06814118123465e-94
100	Sdk1	9.19702413677141	2.09566193435287	0.837	0.183	3.76663813338157e-69
100	4930555F03Rik	8.07119713082871	2.0905127703723	0.878	0.22	2.96286944368459e-59
100	Gm45321	8.02409009078609	1.92312903002311	0.837	0.193	2.76708372154849e-59
100	Gnasas1	7.99925236225426	0.908601047828435	0.439	0.041	4.00761116497005e-79
100	Lmx1b	7.74202431803625	0.711167160738195	0.469	0.034	1.05840143464212e-109
100	Chrm2	7.72472416209129	1.82704872951424	0.806	0.183	1.8959156127139e-59
